City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,russkiy,43.0147,131.8642,282.07,84,9,5.43,RU,1715166488
152,punta arenas,-53.15,-70.9167,274.21,93,100,1.54,CL,1715166490
153,kingston,17.997,-76.7936,300.68,83,20,1.03,JM,1715166490
154,oranjemund,-28.55,16.4333,290.98,73,1,9.28,NA,1715166491
155,ilha de mocambique,-15.0342,40.7358,301.08,66,41,5.5,MZ,1715166492
156,hermanus,-34.4187,19.2345,292.48,68,2,1.76,ZA,1715166492
157,newman,37.3138,-121.0208,286.56,44,27,3.65,US,1715166294
158,timmins,48.4669,-81.3331,277.92,83,100,4.49,CA,1715166494
159,monterey,36.2505,-121.2516,285.35,51,5,2.86,US,1715166494
160,ta`u,-14.2336,-169.5144,301.56,80,35,3.63,AS,1715166495
161,afaahiti,-17.75,-149.2833,297.08,85,63,7.41,PF,1715166496
162,acapulco de juarez,16.8634,-99.8901,296.05,73,40,0.0,MX,1715166431
163,eastham,41.8301,-69.9739,286.45,96,0,3.09,US,1715166497
164,luderitz,-26.6481,15.1594,295.18,59,0,9.87,NA,1715166498
165,cole harbour,44.6724,-63.4751,282.14,78,20,2.24,CA,1715166499
166,port elizabeth,-33.918,25.5701,293.2,74,96,4.47,ZA,1715166500
167,vieux fort,13.7167,-60.95,301.82,74,20,7.2,LC,1715166500
168,rurrenabaque,-14.4413,-67.5278,296.22,97,53,0.36,BO,1715166501
169,hithadhoo,-0.6,73.0833,302.67,72,100,5.22,MV,1715166502
170,suva,-18.1416,178.4415,294.86,88,20,0.0,FJ,1715166503
171,vernon,50.2581,-119.2691,278.4,62,100,0.68,CA,1715166504
172,susuman,62.7833,148.1667,277.03,57,99,4.47,RU,1715166505
173,sint michiel liber,12.15,-68.9833,301.05,83,20,4.63,CW,1715166506
174,geraldton,-28.7667,114.6,296.38,25,100,3.6,AU,1715166506
175,port mathurin,-19.6833,63.4167,298.09,73,85,12.78,MU,1715166507
