City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,zeya,53.75,127.2667,287.86,29,100,1.83,RU,1715332671
145,vorgashor,67.5833,63.95,274.15,93,100,6.85,RU,1715332672
146,naze,28.3667,129.4833,294.66,64,97,4.59,JP,1715332672
147,arica,-18.475,-70.3042,291.9,77,100,2.57,CL,1715332673
148,yurga,55.7231,84.8861,294.96,53,100,5.55,RU,1715332674
149,suriapet,17.15,79.6167,309.85,36,10,3.39,IN,1715332675
150,lae,-6.7221,146.9847,296.51,91,100,1.61,PG,1715332675
151,happy valley-goose bay,53.3168,-60.3315,271.32,86,20,1.54,CA,1715332676
152,arrifes,37.7667,-25.7,290.33,82,20,3.6,PT,1715332677
153,juneau,58.3019,-134.4197,280.15,93,100,3.6,US,1715332575
154,macapa,0.0389,-51.0664,299.14,94,75,2.06,BR,1715332546
155,bukama,-9.2,25.85,304.64,37,33,0.73,CD,1715332679
156,suwayr,30.1171,40.3893,307.67,13,0,6.05,SA,1715332680
157,cururupu,-1.8283,-44.8683,296.09,100,98,0.3,BR,1715332681
158,pocito,-31.6833,-68.5833,281.76,46,1,3.79,AR,1715332681
159,khorixas,-20.3667,14.9667,303.86,14,65,8.23,NA,1715332682
160,cabo san lucas,22.8909,-109.9124,297.32,62,7,7.2,MX,1715332430
161,pasighat,28.0667,95.3333,303.54,45,100,2.09,IN,1715332684
162,coahuayana de hidalgo,18.7,-103.6583,293.81,92,52,0.64,MX,1715332627
163,myadzyel,54.8731,26.9359,281.62,91,100,6.41,BY,1715332685
164,morez,46.5254,6.0259,290.81,57,1,0.44,FR,1715332686
165,jonesboro,35.8423,-90.7043,290.02,63,0,3.09,US,1715332686
166,sisimiut,66.9395,-53.6735,268.16,77,8,2.67,GL,1715332687
167,kwadukuza,-29.3282,31.2895,302.09,27,0,2.9,ZA,1715332688
168,luwingu,-10.2621,29.9271,298.21,52,27,3.54,ZM,1715332688
169,paracuru,-3.41,-39.0306,299.32,93,87,3.12,BR,1715332689
170,bedminster,40.4259,-75.1791,284.73,92,100,4.63,US,1715332690
171,dudinka,69.4058,86.1778,267.97,88,6,4.47,RU,1715332690
172,bhamo,24.2667,97.2333,308.16,34,100,0.68,MM,1715332476
173,castillos,-34.1667,-53.8333,280.4,90,78,0.7,UY,1715332692
174,vernon,50.2581,-119.2691,286.09,49,37,4.12,CA,1715332692
175,yuzhno-kurilsk,44.0306,145.8556,281.14,76,22,2.06,RU,1715332693
176,port alfred,-33.5906,26.891,292.69,93,57,0.77,ZA,1715332419
177,weno,7.4515,151.8468,302.12,84,40,3.6,FM,1715332695
178,brisas de zicatela,15.8369,-97.0419,298.62,74,91,2.31,MX,1715332695
179,codrington,-38.2667,141.9667,287.87,87,68,1.59,AU,1715332696
180,praia da vitoria,38.7333,-27.0667,291.35,82,20,3.8,PT,1715332399
181,chandler,33.3062,-111.8412,295.15,23,0,3.6,US,1715332525
182,vilyuchinsk,52.9306,158.4028,277.73,78,88,3.22,RU,1715332642
183,pudozh,61.8099,36.5345,278.68,41,12,5.36,RU,1715332699
184,safford,32.834,-109.7076,286.66,21,0,0.0,US,1715332700
185,catio,11.2833,-15.25,302.61,66,78,3.91,GW,1715332700
186,jampur,29.6441,70.5954,317.91,8,36,3.52,PK,1715332701
187,machico,32.7,-16.7667,296.32,70,20,10.29,PT,1715332702
188,flying fish cove,-10.4217,105.6791,300.97,83,100,4.12,CX,1715332703
189,margaret river,-33.95,115.0667,292.09,81,64,8.31,AU,1715332703
190,kununurra,-15.7667,128.7333,304.14,48,40,2.57,AU,1715332704
191,puerto ayora,-0.7393,-90.3518,295.12,98,84,1.83,EC,1715332436
192,remire-montjoly,4.9167,-52.2667,298.17,100,75,2.06,GF,1715332556
193,wewak,-3.5534,143.6268,298.74,94,100,3.04,PG,1715332706
194,tarawa,1.419,172.984,302.2,79,40,2.57,KI,1715332707
195,hamilton,39.1834,-84.5333,284.95,93,100,4.12,US,1715332707
196,jayapura,-2.5333,140.7,296.81,95,100,2.95,ID,1715332582
197,nuku'alofa,-21.1333,-175.2,295.34,78,40,2.06,TO,1715332709
198,merizo village,13.2658,144.6691,302.46,89,98,6.26,GU,1715332709
199,uturoa,-16.7333,-151.4333,300.66,76,24,4.89,PF,1715332710
200,pokhara,28.2333,83.9833,301.15,34,85,1.53,NP,1715332711
201,hauterive,46.0901,3.4459,291.57,65,0,1.05,FR,1715332577
202,howard springs,-12.497,131.047,303.1,52,53,1.07,AU,1715332712
203,porto novo,6.4965,2.6036,304.93,63,100,3.75,BJ,1715332455
204,ulsteinvik,62.3432,5.8487,284.76,71,100,0.45,NO,1715332713
205,namsos,64.4662,11.4957,281.18,70,100,4.12,NO,1715332714
206,troitsko-pechorsk,62.7084,56.1964,275.2,54,100,5.36,RU,1715332715
207,laminusa,5.5549,120.9136,302.7,72,89,4.02,PH,1715332716
208,zaysan,47.4667,84.8667,303.37,17,77,4.4,KZ,1715332717
209,illizi,26.4833,8.4667,297.77,21,0,4.28,DZ,1715332717
210,tazovsky,67.4667,78.7,273.87,95,100,8.97,RU,1715332718
211,borazjan,29.2666,51.2159,306.61,12,0,4.42,IR,1715332719
212,pontes e lacerda,-15.2261,-59.3353,292.63,84,0,1.26,BR,1715332720
213,wainwright,52.839,-110.8572,283.1,63,82,2.19,CA,1715332720
214,messaad,34.1543,3.5031,292.85,31,8,2.52,DZ,1715332721
215,kangding,30.0513,101.9603,289.4,84,99,2.46,CN,1715332722
216,punta arenas,-53.15,-70.9167,271.21,93,0,4.12,CL,1715332649
217,bondo,3.8146,23.6866,303.74,53,100,1.68,CD,1715332723
218,amos,48.5669,-78.1162,276.23,76,6,0.98,CA,1715332724
219,villazon,-22.0866,-65.5942,282.2,26,97,1.6,BO,1715332724
220,udachny,66.4167,112.4,268.95,75,100,4.49,RU,1715332725
